존타입,존ID,존이름,레벨범위,몬스터NPC_ID,몬스터이름,몬스터레벨,몬스터HP,드롭아이템ID,드롭아이템이름,아이템종류,아이템분류,스탯,클래스,특수효과,드롭확률,드롭확률(%),최소수량,최대수량
필드,map_68,말하는 섬,1~60,45184,웅 골리 언트,18,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,61,110
필드,map_68,말하는 섬,1~60,99081,시련의 웅 골리 언트,48,880,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,100,500
필드,map_68,말하는 섬,1~60,99067,만년 슬라임,60,600,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,1,10
필드,map_69,실버 나이트 마을 외곽,3~17,45016,코볼트,3,7,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,11,32
필드,map_69,실버 나이트 마을 외곽,3~17,45019,오크 궁수,3,12,transform_scroll,변신주문서,소비,주문서,,KEW,,0.01,1%,1,1
필드,map_69,실버 나이트 마을 외곽,3~17,45019,오크 궁수,3,12,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,11,32
필드,map_69,실버 나이트 마을 외곽,3~17,45050,오크 궁수,3,12,transform_scroll,변신주문서,소비,주문서,,KEW,,0.01,1%,1,1
필드,map_69,실버 나이트 마을 외곽,3~17,45050,오크 궁수,3,12,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,11,32
필드,map_69,실버 나이트 마을 외곽,3~17,45024,늑대 인간,9,50,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,22,50
필드,map_69,실버 나이트 마을 외곽,3~17,45094,늑대 인간,9,50,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,22,50
필드,map_69,실버 나이트 마을 외곽,3~17,45763,늑대 인간,9,40,__GOLD__,아데나(골드),재화,골드,,KEW,,0.7,70%,8,24
필드,map_69,실버 나이트 마을 외곽,3~17,45034,세퍼드,5,30,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,13,36
필드,map_69,실버 나이트 마을 외곽,3~17,45041,난쟁이,5,30,transform_scroll,변신주문서,소비,주문서,,KEW,,0.01,1%,1,1
필드,map_69,실버 나이트 마을 외곽,3~17,45041,난쟁이,5,30,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,13,36
필드,map_69,실버 나이트 마을 외곽,3~17,45042,도베르만,5,20,,(드롭 없음),,,,,,,,,
필드,map_69,실버 나이트 마을 외곽,3~17,45173,라이칸 스로프,17,120,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,56,102
필드,map_69,실버 나이트 마을 외곽,3~17,45769,라이칸 스로프,17,200,,(드롭 없음),,,,,,,,,
필드,map_69,실버 나이트 마을 외곽,3~17,45043,늑대,5,30,,(드롭 없음),,,,,,,,,
필드,map_69,실버 나이트 마을 외곽,3~17,45044,라쿤,5,30,,(드롭 없음),,,,,,,,,
필드,map_69,실버 나이트 마을 외곽,3~17,45092,난쟁이 족 전사,9,70,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,22,50
필드,map_69,실버 나이트 마을 외곽,3~17,45098,간디 오크,10,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,25,54
필드,map_69,실버 나이트 마을 외곽,3~17,45127,로바 오크,13,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,37,72
필드,map_69,실버 나이트 마을 외곽,3~17,45143,두다 - 마라 오크,15,100,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,45,86
필드,map_69,실버 나이트 마을 외곽,3~17,45149,아 투바 오크,15,120,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,45,86
필드,map_69,실버 나이트 마을 외곽,3~17,45171,네루가 오크,17,150,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,56,102
필드,map_69,실버 나이트 마을 외곽,3~17,81066,흑기사 - 수색대,16,100,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,93
필드,map_69,실버 나이트 마을 외곽,3~17,45079,놀,8,60,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,20,45
필드,map_69,실버 나이트 마을 외곽,3~17,45767,놀,8,35,__GOLD__,아데나(골드),재화,골드,,KEW,,0.3,30%,4,16
필드,map_25,글루디오 외곽,15~31,45144,리자드 맨,15,90,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,45,86
필드,map_25,글루디오 외곽,15~31,45145,리자드 맨,15,90,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,45,86
필드,map_25,글루디오 외곽,15~31,45147,아울 베어,15,250,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,45,86
필드,map_25,글루디오 외곽,15~31,45148,아울 베어,15,250,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,45,86
필드,map_25,글루디오 외곽,15~31,45223,버그 베어,22,250,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,46,359
필드,map_25,글루디오 외곽,15~31,45264,하피,26,230,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,118,198
필드,map_25,글루디오 외곽,15~31,45278,오우거,28,500,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,135,225
필드,map_25,글루디오 외곽,15~31,45321,그리폰,31,380,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,163,270
필드,map_25,글루디오 외곽,15~31,45139,와일드 베놈,18,180,transform_scroll,변신주문서,소비,주문서,,KEW,,0.1,10%,1,1
필드,map_25,글루디오 외곽,15~31,45139,와일드 베놈,18,180,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,41,78
필드,map_25,글루디오 외곽,15~31,45158,매드 리자드 맨,20,200,a_20060,바다의 망토,방어구,망토,AC-2,KEW,안전+4,0.005,0.5%,1,1
필드,map_25,글루디오 외곽,15~31,45158,매드 리자드 맨,20,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,93
필드,map_25,글루디오 외곽,15~31,45163,와일드 팡,18,180,transform_scroll,변신주문서,소비,주문서,,KEW,,0.1,10%,1,1
필드,map_25,글루디오 외곽,15~31,45163,와일드 팡,18,180,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,61,110
필드,map_25,글루디오 외곽,15~31,45197,와일드 매직,20,200,transform_scroll,변신주문서,소비,주문서,,KEW,,0.1,10%,1,1
필드,map_25,글루디오 외곽,15~31,45197,와일드 매직,20,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,73,129
필드,map_25,글루디오 외곽,15~31,45217,하이 리자드 맨,25,160,a_20060,바다의 망토,방어구,망토,AC-2,KEW,안전+4,0.005,0.5%,1,1
필드,map_25,글루디오 외곽,15~31,45217,하이 리자드 맨,25,160,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,80,140
필드,map_25,글루디오 외곽,15~31,45239,블루 테일,24,240,transform_scroll,변신주문서,소비,주문서,,KEW,,0.05,5%,1,1
필드,map_25,글루디오 외곽,15~31,45239,블루 테일,24,240,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,102,173
필드,map_25,글루디오 외곽,15~31,45249,키위 패롯,25,300,transform_scroll,변신주문서,소비,주문서,,KEW,,0.1,10%,1,1
필드,map_25,글루디오 외곽,15~31,45249,키위 패롯,25,300,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,109,186
필드,map_25,글루디오 외곽,15~31,45251,헤비 리자드 맨,24,250,a_20060,바다의 망토,방어구,망토,AC-2,KEW,안전+4,0.005,0.5%,1,1
필드,map_25,글루디오 외곽,15~31,45251,헤비 리자드 맨,24,250,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,102,173
필드,map_304,오크 숲,10~44,45140,홉 고블린,14,90,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,41,78
필드,map_304,오크 숲,10~44,45109,오크 좀비,10,100,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,25,54
필드,map_304,오크 숲,10~44,45119,오크 장로,12,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,33,65
필드,map_304,오크 숲,10~44,45121,오크 마법사,12,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,33,65
필드,map_304,오크 숲,10~44,45138,오크 스카우트,14,90,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,41,78
필드,map_304,오크 숲,10~44,46157,오크 밀사,17,250,,(드롭 없음),,,,,,,,,
필드,map_304,오크 숲,10~44,46158,오크 밀사,17,250,,(드롭 없음),,,,,,,,,
필드,map_304,오크 숲,10~44,46159,오크 밀사,17,250,,(드롭 없음),,,,,,,,,
필드,map_304,오크 숲,10~44,99048,오크 병사,40,720,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,700,950
필드,map_304,오크 숲,10~44,99050,오크 소드맨,44,710,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,400,950
필드,map_304,오크 숲,10~44,99051,오크 창병,44,690,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,380,1050
필드,map_304,오크 숲,10~44,99052,오크 주술사,41,590,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,400,1000
필드,map_304,오크 숲,10~44,99054,포노 스 오크 궁수,41,1000,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,500,1600
필드,map_304,오크 숲,10~44,99055,포노 스 오크 도끼,42,950,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,400,1800
필드,map_304,오크 숲,10~44,99056,호노스오쿠,44,1250,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,400,2100
필드,map_304,오크 숲,10~44,99057,포노 스 오크 소드맨,44,1100,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,380,2400
필드,map_304,오크 숲,10~44,99058,포노 스 오크 주술사,41,800,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,400,1800
필드,map_85,언데드의 숲,6~58,45065,좀비,6,45,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,10,120
필드,map_85,언데드의 숲,6~58,45066,좀비,6,45,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,15,38
필드,map_85,언데드의 숲,6~58,45757,좀비,6,40,__GOLD__,아데나(골드),재화,골드,,KEW,,0.5,50%,6,16
필드,map_85,언데드의 숲,6~58,45157,구울,16,110,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,93
필드,map_85,언데드의 숲,6~58,45213,가스트,21,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,80,140
필드,map_85,언데드의 숲,6~58,45346,가스트로드,33,300,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,184,302
필드,map_85,언데드의 숲,6~58,45165,흑기사,16,100,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,93
필드,map_85,언데드의 숲,6~58,46131,유령,46,644,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,80,150
필드,map_85,언데드의 숲,6~58,46132,상급 유령,48,672,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,130
필드,map_85,언데드의 숲,6~58,46184,실루엣,58,1177,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,1800,7200
필드,map_85,언데드의 숲,6~58,46183,데스,58,1177,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,1800,7200
필드,map_85,언데드의 숲,6~58,45189,도펠 갱어,19,280,transform_scroll,변신주문서,소비,주문서,,KEW,,0.1,10%,1,1
필드,map_85,언데드의 숲,6~58,45189,도펠 갱어,19,280,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,67,120
필드,map_85,언데드의 숲,6~58,81069,도펠 겡어,45,1000,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45101,악어,10,90,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,25,54
필드,map_440,하이네 들판,10~49,45814,용감한 악어,30,260,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45196,상급 악어,20,150,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45469,정예 악어,42,440,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45222,라미아,22,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,56,214
필드,map_440,하이네 들판,10~49,45815,용감한 라미아,30,238,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45821,상급 용감한 라미아,32,300,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45825,돌연변이 리자드 맨,35,454,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45874,돌연변이 리자드 맨,35,403,,(드롭 없음),,,,,,,,,
필드,map_440,하이네 들판,10~49,45827,상급 돌연변이 리자드 맨,36,441,a_20060,바다의 망토,방어구,망토,AC-2,KEW,안전+4,0.005,0.5%,1,1
필드,map_440,하이네 들판,10~49,99061,사악한 괴물 눈,49,650,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,320,720
필드,map_440,하이네 들판,10~49,99063,사악한 셀로브,46,760,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,240,900
필드,map_440,하이네 들판,10~49,99064,사악한 웅 골리 언트,48,880,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,280,980
필드,map_480,사막 오아시스,18~48,45259,스콜피온,26,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,60,150
필드,map_480,사막 오아시스,18~48,45260,스콜피온,26,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,118,198
필드,map_480,사막 오아시스,18~48,45277,상급 스콜피온,28,270,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,135,225
필드,map_480,사막 오아시스,18~48,45381,바실리스크,36,800,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,217,353
필드,map_480,사막 오아시스,18~48,45531,상급 바실리스크,48,800,,(드롭 없음),,,,,,,,,
필드,map_480,사막 오아시스,18~48,45361,코카 트리스,34,500,,(드롭 없음),,,,,,,,,
필드,map_480,사막 오아시스,18~48,45362,상급 코카 트리스,47,600,,(드롭 없음),,,,,,,,,
필드,map_480,사막 오아시스,18~48,45163,와일드 팡,18,180,transform_scroll,변신주문서,소비,주문서,,KEW,,0.1,10%,1,1
필드,map_480,사막 오아시스,18~48,45163,와일드 팡,18,180,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,61,110
필드,map_480,사막 오아시스,18~48,45197,와일드 매직,20,200,transform_scroll,변신주문서,소비,주문서,,KEW,,0.1,10%,1,1
필드,map_480,사막 오아시스,18~48,45197,와일드 매직,20,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,73,129
필드,map_4,용의계곡,26~53,45578,드레이크,53,1200,,(드롭 없음),,,,,,,,,
필드,map_4,용의계곡,26~53,45264,하피,26,230,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,118,198
필드,map_4,용의계곡,26~53,45452,상급 하피,41,250,,(드롭 없음),,,,,,,,,
필드,map_4,용의계곡,26~53,45278,오우거,28,500,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,135,225
필드,map_4,용의계곡,26~53,45269,해골 근위병,27,270,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,70,210
필드,map_4,용의계곡,26~53,45270,해골 저격병,27,250,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,70,210
필드,map_4,용의계곡,26~53,45286,해골 돌격 병,29,280,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,70,210
필드,map_4,용의계곡,26~53,45284,불타는 전사,29,280,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,250
필드,map_4,용의계곡,26~53,45291,불타는 궁수,30,230,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,250
필드,map_4,용의계곡,26~53,45309,블랙 티거,28,560,,(드롭 없음),,,,,,,,,
필드,map_4,용의계곡,26~53,45357,상급 블랙 티거,34,500,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,194,318
필드,map_253,해저 동굴,24~33,45240,터틀 드래곤,24,280,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,102,173
필드,map_253,해저 동굴,24~33,45262,상급 터틀 드래곤,26,280,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,118,198
필드,map_253,해저 동굴,24~33,45822,정예 터틀 드래곤,32,350,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45810,머맨,26,187,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45813,돌연변이 머맨,28,202,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45811,돌연변이 크랩 맨,27,194,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45812,시 댄서,27,210,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45816,상어,30,300,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45818,아 스테,31,268,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45819,일 렉카 둠,32,350,,(드롭 없음),,,,,,,,,
필드,map_253,해저 동굴,24~33,45823,크러스트 시안,33,450,,(드롭 없음),,,,,,,,,
필드,map_254,변이의 서식지,27~36,45820,돌연변이 늑대 인간,32,323,,(드롭 없음),,,,,,,,,
필드,map_254,변이의 서식지,27~36,45824,돌연변이 라이칸 스로프,34,368,,(드롭 없음),,,,,,,,,
필드,map_254,변이의 서식지,27~36,45811,돌연변이 크랩 맨,27,194,,(드롭 없음),,,,,,,,,
필드,map_254,변이의 서식지,27~36,45813,돌연변이 머맨,28,202,,(드롭 없음),,,,,,,,,
필드,map_254,변이의 서식지,27~36,45825,돌연변이 리자드 맨,35,454,,(드롭 없음),,,,,,,,,
필드,map_254,변이의 서식지,27~36,45874,돌연변이 리자드 맨,35,403,,(드롭 없음),,,,,,,,,
필드,map_254,변이의 서식지,27~36,45827,상급 돌연변이 리자드 맨,36,441,a_20060,바다의 망토,방어구,망토,AC-2,KEW,안전+4,0.005,0.5%,1,1
던전,dg_63,에바 왕국,1~42,45154,인어,15,60,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,45,86
던전,dg_63,에바 왕국,1~42,45925,에바 해파리,30,440,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45927,에바 크랩 맨,32,400,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45933,에바 상어,36,580,transform_scroll,변신주문서,소비,주문서,,KEW,,0.3,30%,1,1
던전,dg_63,에바 왕국,1~42,45933,에바 상어,36,580,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45934,에바 아 스테,36,580,transform_scroll,변신주문서,소비,주문서,,KEW,,0.3,30%,1,1
던전,dg_63,에바 왕국,1~42,45934,에바 아 스테,36,580,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45936,에바시 댄서,38,600,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,200,1000
던전,dg_63,에바 왕국,1~42,45937,에바 터틀 드래곤,38,680,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45938,에바 일 렉카 둠,40,740,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45939,에바 크러스트 시안,40,750,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45940,저주받은 머맨,42,700,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,20,300
던전,dg_63,에바 왕국,1~42,45077,가오리,8,40,,(드롭 없음),,,,,,,,,
던전,dg_63,에바 왕국,1~42,45089,실라칸스,8,35,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,20,45
던전,dg_63,에바 왕국,1~42,45006,말미잘,1,20,,(드롭 없음),,,,,,,,,
던전,dg_558,심해,30~49,45713,심해의 미믹,30,400,,(드롭 없음),,,,,,,,,
던전,dg_558,심해,30~49,45715,심해의 좀비,32,300,__GOLD__,아데나(골드),재화,골드,,KEW,,0.6,60%,50,700
던전,dg_558,심해,30~49,45718,심해의 구울,36,400,__GOLD__,아데나(골드),재화,골드,,KEW,,0.6,60%,60,700
던전,dg_558,심해,30~49,45719,심해의 크로커다일,38,640,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,1000
던전,dg_558,심해,30~49,45724,심해의 상어,30,400,__GOLD__,아데나(골드),재화,골드,,KEW,,0.3,30%,50,200
던전,dg_558,심해,30~49,45725,심해의 크랩 맨,32,450,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,300
던전,dg_558,심해,30~49,46054,심해의 크랩 맨,32,450,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,50000,300000
던전,dg_558,심해,30~49,45727,심해의시 댄서,45,540,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,300
던전,dg_558,심해,30~49,45732,심해의 일 렉카 둠,48,1500,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,300
던전,dg_558,심해,30~49,45733,심해의 크러스트 시안,49,1200,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,300
던전,dg_558,심해,30~49,45716,헐 거인 조사원,32,320,__GOLD__,아데나(골드),재화,골드,,KEW,,0.6,60%,50,200
던전,dg_558,심해,30~49,46053,라버 본 나이프,45,1000,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,50000,300000
던전,dg_558,심해,30~49,45726,뼈 뱀장어,36,600,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,40,200
던전,dg_558,심해,30~49,45728,심해어,45,1000,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,300
던전,dg_558,심해,30~49,45730,반어 인,45,800,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,300
던전,dg_550,유령선,38~45,45723,선박의 악령,45,1000,__GOLD__,아데나(골드),재화,골드,,KEW,,0.4,40%,50,1000
던전,dg_550,유령선,38~45,46055,익사 한 영혼,38,600,__GOLD__,아데나(골드),재화,골드,,KEW,,0.8,80%,50000,300000
던전,dg_550,유령선,38~45,45720,익사 한 남성,38,600,__GOLD__,아데나(골드),재화,골드,,KEW,,0.6,60%,50,600
던전,dg_550,유령선,38~45,45721,익사 한 여성,40,500,__GOLD__,아데나(골드),재화,골드,,KEW,,0.6,60%,50,600
던전,dg_23,글루디오 지하 감옥,6~50,45107,해골,10,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,25,54
던전,dg_23,글루디오 지하 감옥,6~50,45114,해골,10,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,25,54
던전,dg_23,글루디오 지하 감옥,6~50,45764,해골,10,50,__GOLD__,아데나(골드),재화,골드,,KEW,,0.7,70%,12,34
던전,dg_23,글루디오 지하 감옥,6~50,45122,해골 궁수,12,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,33,65
던전,dg_23,글루디오 지하 감옥,6~50,45129,해골 궁수,12,80,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,33,65
던전,dg_23,글루디오 지하 감옥,6~50,45765,해골 궁수,12,60,__GOLD__,아데나(골드),재화,골드,,KEW,,0.7,70%,14,30
던전,dg_23,글루디오 지하 감옥,6~50,45131,해골 창병,13,90,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,37,72
던전,dg_23,글루디오 지하 감옥,6~50,45766,해골 창병,13,70,__GOLD__,아데나(골드),재화,골드,,KEW,,0.7,70%,15,35
던전,dg_23,글루디오 지하 감옥,6~50,45065,좀비,6,45,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,10,120
던전,dg_23,글루디오 지하 감옥,6~50,45066,좀비,6,45,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,15,38
던전,dg_23,글루디오 지하 감옥,6~50,45757,좀비,6,40,__GOLD__,아데나(골드),재화,골드,,KEW,,0.5,50%,6,16
던전,dg_23,글루디오 지하 감옥,6~50,45157,구울,16,110,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,93
던전,dg_23,글루디오 지하 감옥,6~50,45213,가스트,21,200,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,80,140
던전,dg_23,글루디오 지하 감옥,6~50,45161,스파 토이,16,120,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,93
던전,dg_23,글루디오 지하 감옥,6~50,45181,스파 토이,16,120,__GOLD__,아데나(골드),재화,골드,,KEW,,1,100%,50,93
